رقم النسخة;العنوان;المؤلف;الناشر;السنة;مكان النشر;الطبعة;الشفرة
34893;تفتيش الأشخاص و الأماكن;عبد المطلب,ايهاب;المركز القومي للاصدارات القانونية;2008;عابدين;;345/611
34896;التلبس بالجريمة واثره في الفقه الايلامي و القانون الوضعي : دراسة مقارنة;بسيوني , ابراهيم ابو عطا;دار الجامعة الجديدة;;الاسكندرية;;345/612
34898;الحماية الجنائية للبيئة;الألفي ,عادل ماهر;دار الجامعة الجديدة;2009;الاسكندرية;;345/613
34900;الجريمة العسكرية : دراسة تحليلية تأصيلية مقارنة;الشرقاوي ,ابراهيم أحمد;دار الجامعة الجديدة;2009;الاسكندرية;;345/614
34902;الاجرام الجنسي;نبيه , نسرين عبد الحميد;دار الجامعة الجديدة;2008;الاسكندرية;;345/615
34903;عقوبة الاعدام في القوانين العربية : دراسة مقارنة بالشريعة الاسلامية;الجوراني,كريمش خضر;دار الحامد;2009;عمان;ط.1;345/616
34905;بحوث في القانون الجنائي;بونة ,احمد محمد;المكتب الجامعي الحديث;2009;الاسكندرية;;345/617
34911;الاسباب الشائعة لاحكام البراءة في قضايا المخدرات : شرح للمشكلات العملية في قانون المخدرات و الاجراءات الجنائية;درويش , صفوت محمود;دار المطبوعات الجامعية;2009;الاسكندرية;;345/619
34914;تنفيذ حكم المحكمين : وفقا لقانون التحكيم المصري رقم 18 لسنة 1994 في شأن التحكيم في المواد المدنية و التجارية;محمود السيد التحيوي;دار الفكر الجامعي;2007;الاسكندرية;;345/620
34917;جريمة الامتناع : دراسة مقارنة;عبد , مزهر جعفر;دار الثقافة;1999;عمان;;345/621
34920;الطب الشرعي القضائي;الجابري , جلال;دار الثقافة;2009;عمان;;345/622
34924;سلطة التكييف في القانون الاجرائي : دراسة مقارنة في القوانين الاجرائية المدنية و الجنائية و الادارية;شحاتة , محمد نور عبد الهادي;دار النهضة العربية;;القاهرة;;345/624
34926;ضوابط تفتيش الأشخاص و الأماكن في التطبيق القضائي;فرج عاطف عبد السميع;المكتب العربي الحديث;2009;الاسكندرية;;345/623
34928;المدخل الى علم البصمات;الدروبي , طه كاسب فلاح;دار الثقافة;2006;عمان;;345/626
34931;أثر الحكم الجزائي على الحكم الاداري و التأديبي و على الادارة;القيسي , محي الدين;منشورات الحلبي الحقوقية;2008;بيروت;;345/627
34933;التحكيم الإلكتروني : الوسائل الإلكترونية لفض المنازعات-الوساطة و التوفيق-التحكيم-المفاوضات المباشرة;أبو الهيجاء , محمد ابراهيم;دار الثقافة;2009;عمان;;345/628
34935;الحماية من التعذيب في اطار الاتفاقيات الدولية و الاقليمية;المدور , هبة عبد العزيز;منشورات الحلبي الحقوقية;2009;بيروت;;345/629
34937;الاثبات التقني و العلمي : اجتهادات قضائية;بالي , سمير فرنان;منشورات الحلبي الحقوقية;2009;بيروت;;345/630
34939;النظرية العامة للقانون الجنائي;بهنام , رمسيس;منشأة المعارف;1997;الاسكندرية;ط.3 منقحة;345/631
34942;الجرائم المعلوماتية : دراسة مقارنة;أحمد خليفة الملط;دار الفكر الجامعي;2006;الاسكندرية;ط.2;345/632
34945;الاسناد في المواد الجنائية : دراسة تأصيلية تحليلية و تطبيقية مقارنة;سويلم , محمد علي;منشأة المعارف;2007;الاسكندرية;;345/633
34950;اسهام البحث الجنائي في الكشف عن الجرائم المقيدة ضد مجهول;العمري , جزاء بن غازي العصيمي;دار الجامعة الجديدة;2002;الرياض;;345/634
34954;الجرائم الدولية في القانون الدولي الجنائي;عبد الغني , محمد عبد المنعم;دار الجامعة الجديدة;2007;الاسكندرية;;345/635
34964;الحماية الجنائية لحقوق المؤلف : دراسة مقارنة;أبو العز , حنان طلعت;دار النهضة العربية;2007;القاهرة;ط.1;345/638
34974;الحماية الجنائية للموظف العام;محمود السليمان , صباح مصباح;دار الحامد;2004;عمان;;345/642
34977;الحماية الجزائية للعرض في القانون الوضعي و الشريعة الاسلامية;أبو حجيلة , علي;دار وائل;2003;عمان;;345/643
34994;استخدام تكنولوجيا المعلومات في مكافحة الارهاب;عياد , سامي علي حامد;دار الفكر الجامعي;2008;الاسكندرية;;345/647
35001;القانون الاداري العام;القيسي , محي الدين;منشورات الحلبي الحقوقية;2007;لبنان;ط.1|;342/353
35216;تاصيل مبادئ القانون الدولي الانساني : من منظور اسلامي;جابر عبد الهادى سالم الشافعي;دار الجامعة الجديدة;2007;مصر;;250/195
35344;المدخل إلى القانون : القاعدة القانونية - نظرية الحق;سعد ، نبيل ابراهيم;منشورات الحلبي الحقوقية;2007;بيروت;;340/75
35359;خصوصية الاثبات في الخصومة الادارية;عايدة الشامي;المكتب الجامعي الحديث;2008;مصر;;342/142
35367;التظلم الاداري و مسلك الادارة الايجابي في ضوء اراء الفقه و احكام القضاء;محمد ابراهيم خيري الوكيل;دار الفكر الجامعي;2008;مصر;ط.1;342/356
35371;النظام القانوني الواجب الاعمال على العقود الادارية الدولية امام المحكم الدولي;هاني محمود حمزة;منشورات الحلبي الحقوقية;2008;لبنان;ط.1;342/352
35375;أصول التحقيق الإداري في المخالفات التأديبية;ياقوت , محمد ماجد;;;;;342/456
35380;قانون القضاء الاداري;حسين عثمان محمد عثمان;منشورات الحلبي الحقوقية;2006;مصر;ط.1;342/348
35383;القرارات الادارية في الفقه و قضاء مجلس الدولة;خليفة , عبد العزيز عبد المنعم;دار الفكر الجامعي;2007;مصر;;342/347
35408;الدستور والسلطة;محمد كمال الدين امام;;;;;
35435;الوظيفة العامة في التشريع الجزائري : دراسة في ظل الأمر 06- 03 والقوانين الأساسية الخاصة مدعمة باجتهادات مجلس الدولة;بوضياف، عمار;دار جسور;;الجزائر;;342/714
35443;الدعاوى الادارية;ماجد راغب الحلو;;;;;
35451;دعاوى المجالس و الهيئات و المحاكم التاديبية;شلالا , نزيه نعيم;منشورات الحلبي الحقوقية;2007;لبنان;ط.1;342/322
35623;القانون الدستوري : المبادئ الدستورية;ماجد راغب الحلو;;;;;342/247
35721;المساءلة التأديبية للموظف العام;سعيد الشتيوي;دار الجامعة الجديدة;2008;مصر;;342/289
35743;سلطة تاديب الموظف العام : دراسة مقارنة;نوفان العقيل العجارمة;دار الثقافة;2007;الاردن;ط.1;342/288
35751;ذاتية قانون العمل و اهم تطبيقاتها;محمد محمد احمد عجيز;دار النهضة العربية;2007;مصر;;342/287
35752;نظرية الضبط الاداري في النظم الوضعية المعاصرة و الشريعة الاسلامية;عبد الرؤوف هاشم بسيوني;دار الفكر الجامعي;2007;مصر;ط.1;342/285
35757;غرامة التاخير في العقد الاداري و اثرها في تسيير المرفق العام;نصر الدين بشير;دار الفكر الجامعي;2007;مصر;ط.1;342/286
35761;نظرية العقود الادارية : دراسة مقارنة في الفقه الاسلامي و القانون;نذير بن محمد الطيب اوهاب;مركز البحوث;1427ه.;الرياض;;342/301
35763;ادارة اتخاد القرار الاداري;محمد خليل العزاوي;;;;;342/300
35767;شبه العقد في القانون الاداري;عبد الرؤوف هاشم بسيوني;دار الفكر الجامعي;2007;مصر;ط.1;342/298
35775;القيادة الادارية;نواف كنعان;دار الثقافة;2007;الاردن;ط.1;342/304
35784;انقضاء الخصومة الادارية بالارادة المنفردة للخصوم في المرافعات الادارية;محمد باهي ابو يونس;دار الجامعة الجديدة;2007;مصر;ط.1;342/328
35789;تشريع القوانين : دراسة دستورية مقارنة;نعمان عطا الله الهيتي;دار رسلان;2007;سوريا;;342/327
35791;السلطة التاديبية لصاحب العمل;فريدة العبيدي;دار الكتب القانونية;2008;مصر;;342/303
35797;اتخاد القرارات الإدارية : بين النظرية و التطبيق;نواف كنعان;دار الثقافة;2007;الاردن;ط.1;342/313
35798;السلوك التنظيمي الاداري;عامر عوض;;;;;342/309
35799;الاختصاص الاصلي للمحكمة الدستورية بتفسير النصوص الدستورية في النظام الدستوري الكويتي;محمد باهي ابو يونس;دار الجامعة الجديدة;2008;مصر;;342/305
35801;مسؤولية الإدارة العامة عن أعمالها الضارة;علي خطار شنطاوي;دار وائل;2006;عمان;;351/305
35807;المنازعات الادارية نظام مجلس شورى الدولة;فاطمة السويسي;المؤسسة الحديثة للكتاب;2004;لبنان;;342/316
35814;ازمة قانون العمل المعاصر : بين نهج تدخل الدولة و مذهب اقتصاد السوق;يوسف الياس;دار وائل;2006;الاردن;;342/312
35816;الضمانات التأديبية في الوظيفة العامة;خليفة , عبد العزيز عبد المنعم;منشاة المعارف;2008;مصر;;342/311
35822;مدونة الوظيفة العمومية والوظائف العليا : Code de la fonction publique et des fonctions supérieures;مولود ديدان;دار بلقيس;2008;الجزائر;;342/324
35824;القانون الاساسي العام للوظيفة العمومية;مولود ديدان;;;;;342/325
35826;أثر الرأي العام على أداء السلطات العامة;سعد حامد عبد العزيز;;;;;342/291
35827;المرافعات الادارية : اجراءات رفع الدعوى الادارية وتحضيرها;عبد الرؤوف, هاشم بسيوني;دار الفكر الجامعي;2007;مصر;;342/319
35829;العقد الاداري الالكتروني : دراسة تحليلية مقارنة;ماجد راغب الحلو;دار الجامعة الجديدة;2007;مصر;ط1;342/320
35831;دعوى الالغاء : في ضوء احكام المحكمة الادارية العليا;خالد عبد الفتاح محمد;دار الكتب القانونية;2007;مصر;;342/306
35834;الأساليب الكمية في اتخاد القرارات الادارية;كاسر نصر منصور;;;;;342/314
35838;القانون الاداري و حماية الصحة العامة : دراسة مقارنة;محمد محمد عبده امام;دار الفكر الجامعي;2007;مصر;;342/321
35842;قوانين الانتخابات في الدول العربية;قسم الدراسات الإنتخابية والقانونية;;;;;342/292
35843;رقابة دستورية القوانين : المبادئ النظرية و التطبيقات الجوهرية;محمد رفعت عبد الوهاب;دار الجامعة الجديدة;2008;مصر;;342/308
35852;اشكالات التنفيذ في احكام القضاء الاداري;عبد الرؤوف هاشم بسيوني;دار الفكر الجامعي;2008;مصر;ط.1;342/330
35859;التحقيق الاداري في نطاق الوظيفة العامة;سعد الشتيوي;دار الفكر الجامعي;2007;مصر;ط.1;342/329
35865;قرينة الخطا : في مجال المسؤولية الادارية -دراسة مقارنة;عبد الرؤوف هاشم بسيوني;دار الفكر الجامعي;2007;مصر;ط.1;342/290
35887;الرقابة البرلمانية على أعمال الادارة في النظام البرلماني والرأسمالي;وسيم حسام الدين الأحمد;;;;;342/333
35915;الدولة في ميزان الشريعة;ماجد راغب الحلو;دار الجامعة الجديدة;2008;مصر;;342/340
35918;الوجيز في منازعات التنفيد;محمد أيمن محمد محفوظ;;;;;342/338
35920;نظرية الظروف الطارئة;سعيد السيد علي;;;;;342/337
35923;الحقوق الدستورية والسياسات الدستورية;فينمان جاي;;;;;342/335
35937;أسس و قواعد القانون الاداري;سعيد السيد علي;دار ابو المجد;2008;مصر;;342/343
35941;تسبيب القرارات الادارية أمام قاضي الالغاء;أشرف عبد الفتاح أبو المجد محمد;;;;;342/336
35942;الاجراءات في الدعوى الادارية : دراسة مقارنة;شادية ابراهيم المحروقي;دار الجامعة الجديدة;2005;مصر;;342/367
35944;أثر القضاء الاداري على النشاط الاداري للدولة;صلاح يوسف عبد العليم;دار الفكر الجامعي;2007;الاسكندرية;;342/368
35945;الوجيز في القضاء الاداري /مبدا المشروعية -دعوى الالغاء;علي عبد الفتاح محمد;دار الجامعة الجديدة;2009;مصر;;342/385
35958;القانون الدستوري ققها و قضاءا;مصطفى ابو زيد ابراهيمي;دار المطبوعات الجامعية;2008;مصر;;342/380
35966;قانون العمل الموحد رقم12 لسنة 2003;شتات , اسامة احمد;;;;;342/365
35975;النظرية العامة للتفويض الاداري و التشريعي /دراسة مقارنة;شروق اسامة عواد حجاب;دار الجامعة الجديدة;2009;مصر;ط.1;342/381
35999;الانظمة السياسية و المبادئ الدستورية العامة;احمد سعيفان;منشورات الحلبي الحقوقية;2008;لبنان;ط.1;342/351
36010;القضاء الاداري : مبدا المشروعية تنظيم و ةاختصاصات مجلس الدولة;محمد فؤاد عبد الباسط;دار الجامعة الجديدة;2005;مصر;;342/361
36013;القانون الدستوري فقها و قضاءا;مصطفى ابو زيد فهمي;دار المطبوعات الجامعية;1993;مصر;;342/364
36020;الرقابة الشعبية على سلطة رئيس الدولة : دراسة مقارنة بين النظامية الدستوري المعاصر و الاسلامي;عبد الكريم محمد محمد السوري;دار المطبوعات الجامعية;2009;مصر;ط.1;342/346
36059;في النظم الدستورية والسياسة;محمد نصر مهنا;;;;;342/363
36068;الوجيز في الانظمة السياسية و القانون الدستوري;شعبان احمد رمضان;دار النهضة العربية;2008;مصر;;342/345
36074;وقف تنفيذ القرار الاداري : الطابع الاستثنائي لنظام الوقف محل الوقف و شروطه -حكم الوقف;محمد فؤاد عبد الباسط;دار الجامعة الجديدة;2007;مصر;2007;342/372
36086;الطعون الانتخابية في الانتخابية /دراسة مقارنة بالقانون الفرنسي;اكرام عبد الحكيم محمد محمد حسن;المكتب الجامعي الحديث;2007;مصر;;342/389
36116;دراسات معمقة في القانون الاداري;نفيس مدانات;دار الثقافة;2004;الاردن;ط.1;342/379
36118;امتيازات السلطة العامة في العقد الاداري;حمد محمد حمد الشلماني;دار المطبوعات الجامعية;2007;مصر;;342/377
36119;النظرية العامة للاستقالة بين القانون الوضعي و الشريعة الاسلامية /دراسة مقارنة;عبد اللطيف السيد رسلان عودة;دار الجامعة الجديدة;2004;مصر;;342/393
36122;هيمنة السلطة التنفيذية على اعمال البرلمان;رافت دسوقي;منشاة المعارف;2006;مصر;;342/392
36124;حق حل المجلس النيابي في الدساتير المعاصرة;بشير علي محمد باز;دار الجامعة الجديدة;2004;مصر;;342/391
36132;التوازن بين السلطة و الحرية في الانظمة الدستورية;جعفر عبد السادة بهير الدراجي;دار الجامد للنشر و التوزيع;;الاردن;;342/396
36137;شرح قانون العمل;أحمد عبد الكريم أبو شنب;;;;;342/473
36140;نظرية القرارات الإدارية بين علم الإدارة العامة و القانون الإداري .;عمار عوابدي;دار هومة;2005;الجزائر;;342/470
36148;اجراءات التقاضي والاثبات في الدعاوى الادارية;خليفة , عبد العزيز عبد المنعم;;;;;342/452
36151;المفاوضة الجماعية في قانون العمل;سلامة عبد التواب عبد الحليم;;;;;342/445
36153;البوليس الاداري;عادل السعيد محمد ابو الخير;دار الفكر الجامعي;2008;مصر;ط.1;342/433
36158;دور الرقابة الدستورية في حماية الحقوق و الحريات في اطار التشريعات الوطنية و المواثيق الدولية;اشرف فايز اللمساوي;المركز القومي للاصدارات القانونية;2009;عابدين;ط.1;342/432
36161;أصول القضاء الإداري : قضاء الإلغاء- قضاء التعويض- إجراءات القضاء الإداري-القضاء الإداري في الفقه الإسلامي;محمد رفعت عبد الوهاب;دار الجامعة الجديدة;2007;الإسكندرية;;342/430
36163;التأديب الاداري في الوظيفة;علي جمعة محارب;;;;;342/429
36169;تعديل الدستور : دراسة مقارنة;احمد العزي النقشبندي;مؤسسة الوراق;2006;الاردن;;342/463
36174;المجلس الدستوري;هنري روسيون;;;;;342/378
36184;دراسات معمقة في العرف الدستوري;سعد عبد الجبار العلوش;دار الثقافة;2008;الاردن;ط.1;342/376
36194;القانون الاداري : القرارات الادارية -الضبط الاداري -العقود الادارية;عادل السعيد ابو الخير;;;;;342/416
36198;الحماية القضائية المستعجلة للحرية الاساسية;محمد باهي ابو يونس;دار الجامعة الجديدة;2008;مصر;;342/373
36201;النظام الحزبي /الماهية -المقومات الفاعلية;صباح مصطفى المصري;المكتب الجامعي الحديث;2007;مصر;;342/390
36204;العلاقة بين السلطتين التشريعية و التنفيذية في الانظمة الدستورية العربية /دراسة مقارنة;سعدي محمد الخطيب;منشورات الحلبي الحقوقية;2008;لبنان;ط.1;342/399
36208;التحقيق البرلماني في الدول العربية و الامريكية و الاروبية;فارس محمد عمران;المركز القومي للاصدارات القانونية;2008;;;342/395
36210;في النظرية الدستورية;يوسف حاشي;منشورات الحلبي;2009;دمشق;ط.1;342/394
36222;الوسيط في الأنظمة السياسية و القانون الدستوري .;شعبان أحمد رمضان;دار النهضة العربية;2009;القاهرة;;342/453
36223;دعوى الهبة : دراسة مقارنة من خلال الفقه و الاجتهاد و النصوص القانونية;شلالا , نزيه نعيم;منشورات الحلبي;2007;لبنان;;250/08
36228;مدى صحة تضمين يد الامانة بالشرط في الفقه الاسلامي;نزيه حماد;;;;;250/07
36230;التشريع الاسلامي : جذوره الحضارية و اطواره التاريخية;عبد الجواد خلف;الدار الدولية;2008;مصر;ط.1;250/05
36240;فقه الأحوال الشخصية في الميراث و الوصية;هاني الطعيمات;دار الشروق;2006;الاردن;;250/03
36245;عقد المضاربة بين الشريعة و القانون;عبد العظيم شرف الدين;الدار الدولية;2001;مصر;;250/02
36254;المدخل لدراسة الفقه الاسلامي و نظرياته العامة;رمضان علي الشرنباصي;منشورات الحلبي الحقوقية;2007;لبنان;ط.1;250/15
36259;ميراث المراة في الشريعة الاسلامية و القوانين المقارنة;قيس عبد الوهاب الحيالي;دار الحامد;2008;مصر;ط.1;250/14
36266;مسائل في الفقه المقارن : تكثر الحاجة اليها;سعدي حسين جبر;دار الحامد;2005;الاردن;ط.1;250/12
36273;زنا المحارم : الشيطان في بيوتنا;احمد المجدوب;مكتبة مدبولي;2003;الجزائر;ط.1;250/10
36278;الخلع في قانون الاحوال الشخصية : احكامه و اثاره;منال محمود المشني;دار الثقافة;2008;الاردن;ط.1;250/23
36282;احكام العقيقة في الفقه الاسلامي : دراسة مقارنة;علي محمد علي قاسم;دار الجامعة الجديدة;2003;مصر;ط.1;250/22
36287;عقد البيع السلم و تطبيقاته المعاصرة : دراسة مقارنة في الفقه الاسلامي و القانون الوضعي;عدنان محمود العساف;جهينة للنشر و التوزيع;2004;الاردن;ط.1;250/21
36299;سبل الوفاق في احكام الزواج و الطلاق;صلاح محمد ابو الحاج;الوراق للنشر و التوزيع;2005;الاردن;;250/17
36302;المعاملات في الفقه الاسلامي;عبد الجواد حسن;الدار الدولية;2008;مصر;ط.1;250/16
36306;احكام و اثار الزوجية : شرح مقارن لقانون الاحوال الشخصية;محمد سمارة;دار الثقافة;2008;الاردن;ط.1;250/06
36307;مدى مشروعية الانتفاع باعضاء الادمي حيا او ميتا في الفقه الاسلامي;عبد المطلب عبد الرازق حمدان;دار الفكر الجامعي;2005;مصر;;250/19
36308;توحيد تقنيات الازهر للشريعة الاسلامية : البيع-الرباو المعاملات المصرفية;عبد الناصر توفيق العطار;النسر الدهبي;2002;مصر;;250/13
36309;الدراسات الأدبية لأسلوب القرآن الكريم في العصر الحديث;محمد أحمد الأشعر;;;;;250/40
36313;تنازع القوانين : دراسة مقارن بين الشريعة و القانون;جمال الدين , صلاح الدين;دار الفكر الجامعي;2006;مصر;;250/24
36317;علم التفسير و مناهج المفسرين;كمال الدين عبد الغني المرسى;دار الوفاء;2005;مصر;;250/25
36320;الايضاح في علم القراءات;عبد العلي المسؤول;دائرة المكتبة الوطنية;;;;250/41
36344;عقد نقل البضائع بالحاويات : تعريف الحاوية و استخدامها......;علي حسن , سوزان;دار الجامعة الجديدة;2009;مصر;;346.07/180
36485;مسؤولية البنك في قبول المستندات في نظام الاعتماد المستندي : في ظل الأعراف الموحدة للاعتمادات المستندية نشرة 500 لعام 1993 و بعض القوانين الوطنية المقارنة;النعيمات , فيصل محمود مصطفى;دار وائل;2005;عمان;;346.07/383
36486;عقد الامتياز التجاري : دراسة في نقل المعارف الفنية;النجار , محمد محسن ابراهيم;دار الجامعة الجديدة;2007;الاسكندرية;;346.07/384
36491;النظام القانوني لتخفيض رأس مال شركات الأموال الخاصة : دراسة مقارنة;جويحان , عبد العزيز;دار الحامد;2008;عمان;;346.07/385
36492;النظام القانوني للتحول الى القطاع الخاص : الخصخصة دراسة مقارنة;الجبوري , محمد ابراهيم علي فندي;دار الحامد;2008;عمان;;346.07/386
36496;عقد البيع الالكتروني : بحث في التجارة الالكترونية;مؤمن , طاهر شوقي;دار النهضة العربية;2008;الفيوم;;346.07/387
36516;التجارة الدولية;محمد , جاسم;دار زهران;;عمان;;346.07/391
36518;دور القاضي في التحكيم التجاري الدولي : دراسة مقارنة;البطاينة , عامر فتحي;دار الثقافة;2008;عمان;;346.07/392
36525;حقوق الملكية الفكرية وحماية المستهلك في عقود التجارة الالكترونية;عبد الفتاح بيومي حجازي;دار الكتب القانونية;2008;مصر;;346.07/394
36527;الوجيز في الشركات التجارية و الإفلاس : وفقا لقانون الشركات رقم (22) لسنة 1997 وتعديلاته وقانون التجارة رقم (12) لسنة 1966 مع الإشارة إلى بعض القوانين العربية;المحيسن , أسامة نائل;دار الثقافة;2008;عمان;;346.07/395
36537;أثر الخصخصة على العلاقات الناشئة عن عقد العمل : دراسة مقارنة بين القانونين الفرنسي و المصري;أبو الخير , جمال ابو الفتوح محمد;دار الكتب القانونية;2008;مصر;;346.07/396
36543;التجارة الالكترونية العربية : شرح قانون المبادلات و التجارة الالكترونية ج.1;حجازي , عبد الفتاح بيومي;دار الكتب القانونية;2007;الاسكندرية;;346.07/398ج1
36546;التجارة الالكترونية العربية : النظام القانوني للتجارة الالكترونية في دولة الامارات العربية المتحدة ج.2;حجازي , عبد الفتاح بيومي;دار الكتب القانونية;2007;الاسكندرية;;346.07/398ج2
36548;القانون المصرفي و النقدي;ياسين , محمد يوسف;منشورات الحلبي الحقوقية;2007;بيروت;;346.07/399
36553;الأسناد التجارية و الافلاس;ضناوي , عدنان;المؤسسة الحديثة للكتاب;2001;لبنان;;346.07/401
36556;البيع في ضوء الاجتهاد ج.1;ضاهر , فؤاد;المؤسسة الحديثة للكتاب;1998;لبنان;;346.07/403ج1
36558;البيع في ضوء الاجتهاد ج.2;ضاهر , فؤاد;المؤسسة الحديثة للكتاب;1999;لبنان;;346.07/403ج2
36560;أحكام الافلاس و الصلح الواقي في التشريعات العربية;البستاني , سعيد يوسف;منشورات الحلبي الحقوقية;2007;بيروت;;346.07/404
36563;القانون التجاري : الأوراق التجارية , الافلاس و الصلح الاحتياطي;خير , عدنان;المؤسسة الحديثة للكتاب;2003;لبنان;;346.07/405
36564;مبسوط القانون التجاري الجزائري في الأوراق التجارية : السفتجة ج.1;فتاك , علي;ابن خلدون للنشر و التوزيع;2004;الجزائر;;346.07/406
36568;المرتكز في دعاوي المصارف : دراسة مقارنة من خلال الفقه و الاجتهاد و النصوص القانونية;شلالا , نزيه نعيم;منشورات الحلبي الحقوقية;2006;بيروت;;346.07/407
36570;حماية المستهلك في المعاملات الالكترونية : دراسة مقارنة;ابراهيم , خالد ممدوح;الدار الجامعية;2007;الاسكندرية;;346.07/408
36581;الأوراق التجارية : على ضوء الفقه وقضاء النقص والقانون التجاري رقم 17 سنة 1999 -الكمبيالة والسند الإذني;فوده ، عبد الحكيم;دار الألفى;;مصر;;346.07/410
36583;المسئولية الجنائية في ضوء السياسة الجنائية : دراسة مقارنة بين التشريع و الفقه و القضاء;سويلم , محمد علي;دار المطبوعات الجامعية;2007;الاسكندرية;;345/789
36586;التنظيم القانوني للمنافسة و منع الاحتكار : دراسة مقارنة;شلبي , أمل محمد;المكتب الجامعي الحديث;2008;الاسكندرية;;346.07/413
36591;مجلس العقد واثره في عقود التجارة الالكترونية : دراسة مقارنة في الفقه الاسلامي و القانون الوضعي;الشيخ , أسامة عبد العليم;دار الجامعة الجديدة;2008;الاسكندرية;;346.07/414
36593;أمن المستهلك الالكتروني;ابراهيم , خالد ممدوح;الدار الجامعية;2008;الاسكندرية;;346.07/415
36598;الشيك : رؤية مصرفية و قانونية ج.1;حشاد , عبد المعطي محمد;مكتبة الدار العربية للكتاب;2004;القاهرة;;346.07/419
36600;الوجيز في القانون التجاري: مبادئ القانون التجاري- الشركات التجارية- الأوراق التجارية والعمليات المصرفية;خالد ابراهيم التلاحمة;دار وائل;2012;عمان;ط3;346.07/712
36608;شروط التحكيم في العقود التجارية : دراسة مقارنة;جمعان , ناصر ناجي محمد;المكتب الجامعي الحديث;2008;مصر;;346.07/431
36612;الوسيط في القانون التجاري : مقدمة عامة - الأعمال التجارية - التاجر - المحل التجاري - الملكية الصناعية;عمر , عمر فؤاد;دار النهضة العربية;2008;القاهرة;;346.07/433
36615;التحكيم في المواد المدنية و التجارية الوطنية و الدولية : اتفاق التحكيم - خصومة التحكيم - حكم الحكم وفقا لأحدث التعديلات التشريعية و القضائية;عمر , نبيل اسماعيل;دار الجامعة الجديدة للنشر;2004;الاسكندرية;;346.07/434
36619;دروس في القانون التجاري الجديد : الاعمال التجارية -التجار -الاموال التجارية;الفقي , محمد السيد;دار المطبوعات الجامعية;2000;الاسكندرية;;346.07/435
36621;الوجيز في عقود التجارة الالكترونية : أركانه . اثباته . القانون الواجب التطبيق . حمايته التشفير . التوقيع الالكتروني - دراسة مقارنة -;المطالقة , محمد فواز محمد;دار الثقافة;2006;عمان;;346.07/436
36630;قانون الضريبة العامة على المبيعات الجديد : ولائحته التنفيدية المعدل بالقانون 17 لسنة 2001 بتطبيق المرحلتين الثانية و الثالثة من القانون;شتات , أسامة أحمد;دار الكتب القانونية;2003;مصر;;346.07/437
36634;قانون ايجار و بيع الاماكن و تنظيم العلاقة بين المالك و المستأجر : قانون 49 لسنة 1977 - قانون 4 لسنة 1996 - قانون 6 لسنة 1997 و الوائح التنفيدية - قانون 14 لسنة 2001 - قانون 136 لسنة 1981 - قانون 5 لسنة 1996;شتات , أسامة أحمد;دار الكتب القانونية;2004;مصر;;346.07/438
36638;قانون الشيك و الكيمبيالة;شتات , أسامة أحمد;دار الكتب القانونية;2003;مصر;;346.07/439
36642;الكامل في الاجتهاد اللبناني : الشيك ج.1;طوبيا , بيار اميل;منشورات الحلبي الحقوقية;1999;بيروت;;346.07/440
36646;قانون المناقصات و المزايدات قانون رقم 19 لسنة 1991 : القانون رقم 89 لسنة 1998 باصدار قانون المناقصات و المزايدات...;شتات , أسامة أحمد;دار الكتب القانونية;2001;مصر;;346.07/441
36649;القانون البحري : السفينة-اشخاص الملاحة البحرية -ايجار السفينة-النقل البحري;الفقي , محمد السيد;دار الجامعة الجديدة;2007;مصر;;346.07/442
36657;القانون التجاري بين التنظيم الموضوعي والتنظيم الفئوي للتجارة : دراسة في ضوء قانون التجارة رقم 17 لسنة 1999;دويدار , هاني;دار الجامعة الجديدة للنشر;2001;الاسكندرية;;346.07/443
36663;عمليات البنوك;طه , مصطفى كمال;دار الفكر الجامعي;2005;الاسكندرية;;346.07/444
36665;التوحيد الدولي للقانون البحري;طه , مصطفى كمال;دار الفكر الجامعي;2007;الاسكندرية;;346.07/445
36672;الاسس العامة للعقود الادارية : الابرام. التنفيد. المنازعات في ضوء أحدث أحكام مجلس الدولة و وفقا للأحكام قانون المناقصات و المزايدات;خليفة , عبد العزيز عبد المنعم;دار الكتب القانونية;2005;مصر;;346.07/446
36673;التشريعات التجاربة و تشريعات الاعمال : لطلبة العلوم الادارية و المالية;السويلميين , صفاء محمود;دار وائل;2005;عمان;ط.1;346.07/447
36675;اندماج الشركات و انقسامها : دراسة مقارنة و تشتمل : اهمية الاندماج - تعريفه - صوره - طبيعته القانونية - وضعه التشريعي - اجراءته - عقد الاندماج - أثاره - بطلانه;المصري , حسني;دار الكتب القانونية;2007;مصر;;346.07/448
36678;القانون التجاري : الأعمال التجارية، التجار، الأموال التجارية;الفقي , محمد السيد;دار الجامعة الجديدة;2008;الإسكندرية;;346.07/33
36684;الضوابط القانونية لنظرية الاعمال التجارية : في قانون التجارة الجديد رقم 17 لسنة 1999;المصري , عباس مصطفى;دار الجامعة الجديدة;2005;الاسكندرية;;346.07/450
36690;المعلوماتية والأوراق التجارية : الكمبيالة كنمودج;الفقي , محمد السيد;دار الجامعة الجديدة;2005;الاسكندرية;;346.07/453
36693;قانون ضمانات و حوافر الاستشهاد : ولائحته التنفيدية;شتات , أسامة أحمد;دار الكتب القانونية;2005;مصر;;346.07/456
